,name company,count blogs in mart,badges,rating,subscribers
185,SSP SOFT,1,Нет,47.69,27
186,HOSTKEY,2,Нет,47.14,179
187,Газинформсервис,1,Нет,46.49,122
188,«Ингосстрах»,0,Нет,46.15,57
189,ДОМ.РФ,2,Нет,45.8,255
190,Хабр Фриланс,0,Нет,45.23,465
191,Nexign,0,Нет,45.06,393
192,Кошелёк,0,Нет,44.99,208
193,«Антиплагиат»,0,Нет,44.95,190
194,Brave,6,Нет,44.89,253
195,Сравни,3,Нет,44.57,78
196,MOEX,0,Нет,43.42,606
197,InfoWatch,0,Нет,43.19,265
198,vStack,1,Нет,43.08,10
199,Клиника офтальмологии доктора Шиловой,0,Нет,42.98,900
200,CUSTIS,0,Нет,42.92,211
201,ПСБ,0,Нет,42.3,202
202,lsFusion,0,Нет,42.27,193
203,Криптонит,3,Нет,42.21,88
204,МТТ,0,Нет,41.96,106
205,IBS,2,Нет,41.8,302
206,Home Credit Bank,1,Нет,41.75,133
207,Zadarma,0,Нет,41.75,258
208,Лига Цифровой Экономики,2,Нет,41.65,79
209,Angara Security,2,Нет,41.03,107
210,Учи.ру,1,Нет,40.48,196
211,Visiology,0,Нет,39.85,191
212,Arenadata,0,Нет,39.78,118
213,Иннотех,1,Нет,39.59,274
214,Mindbox,0,Нет,39.47,293
215,АльфаСтрахование,0,Нет,39.33,123
216,Tele2,1,Нет,39.22,192
217,Uzum,1,Нет,39.01,31
218,Финолаб,0,Нет,38.86,26
219,STSS,1,Нет,38.71,209
220,Команда Цифровой Трансформации Татарстана,5,Нет,38.64,38
221,OWASP,0,Нет,38.46,243
222,Deiteriy Lab,2,Нет,38.32,88
223,Digital Rights Center,0,Нет,37.8,334
224,Infotecs,1,Нет,37.74,68
225,UNIGINE,1,Нет,37.67,525
226,Информационный центр,0,Нет,36.5,242
227,НПО Криста,0,Нет,36.08,68
228,СИГМА,0,Нет,36.07,75
229,Мир Plat.Form (НСПК),0,Нет,35.57,318
230,Monq,0,Нет,35.44,21
231,Just AI,1,Нет,35.27,242
232,SlideLab,0,Нет,35.02,12
233,LENTA:U TECH,1,Нет,34.54,102
234,Acer,3,Нет,33.49,121
235,Хабр Q&A,0,Нет,33.39,406
236,Лига Ставок,2,Нет,33.34,89
237,Joy Dev,2,Нет,33.31,30
238,IT-бренд работодателя,2,Нет,33.03,163
239,Открытая мобильная платформа,0,Нет,32.99,116
240,Ispmanager,3,Нет,32.68,55
241,АЭРОДИСК,0,Нет,32.46,135
242,PERCo,2,Нет,32.38,6
243,Национальная Медиа Группа,1,Нет,32.34,46
244,Crystal Service Integration,0,Нет,31.65,195
245,CleverPumpkin,0,Нет,31.62,187
246,Национальный расчетный депозитарий,1,Нет,31.58,52
247,Наносемантика,0,Нет,31.44,152
248,Failover Bar,0,Нет,31.05,33
249,Первая грузовая компания (ПГК),1,Нет,30.98,102
250,Hoff Tech,1,Нет,30.57,70
251,Whoosh,1,Нет,30.35,84
252,Social Discovery Group,0,Нет,29.95,60
253,Nebo Devices Ltd.,0,Нет,29.81,28
254,Oxygen Cloud Platform,1,Нет,29.51,42
255,Программный Продукт,2,Нет,29.06,52
256,СберКорус,1,Нет,28.94,38
257,STEP LOGIC,3,Нет,28.92,49
258,Amnezia VPN,1,Нет,28.89,214
259,Bringo Group Limited,0,Нет,28.55,73
260,RDP,1,Нет,28.53,38
261,АйТи-Лекс,0,Нет,27.81,235
262,Web3 Tech,1,Нет,27.61,82
263,Росатом,0,Нет,27.43,128
264,Школа Le Sallay Диалог,2,Нет,27.03,8
265,AIRI,1,Нет,26.83,10
266,СберМегаМаркет,0,Нет,26.79,123
267,АО «ГНИВЦ»,0,Нет,26.62,88
268,MTS AI,1,Нет,26.6,106
269,Flowwow,2,Нет,26.23,83
270,PushAll,0,Нет,26.02,111
271,.тостер.conf,0,Нет,25.93,372
272,НПП «Цифровые решения»,1,Нет,25.77,84
273,Страховой Дом ВСК,3,Нет,25.75,66
274,COOLRF,0,Нет,25.45,1200.0
275,Совкомбанк Технологии,0,Нет,25.35,73
276,Courson,1,Нет,24.68,41
277,Innostage,1,Нет,23.83,34
278,AI Talent Hub,0,Нет,23.79,39
279,MySkazka,0,Нет,22.11,30
280,m2 tech,1,Нет,22.01,69
281,IT-guide,1,Нет,21.9,21
282,Spectr,2,Нет,21.81,20
283,Querify Labs,0,Нет,21.06,10
284,Честный ЗНАК,0,Нет,21.06,69
285,УБРиР,1,Нет,20.11,51
286,Mango Office,2,Нет,19.46,73
287,РЕД СОФТ,0,Нет,19.23,66
288,Demlabs,0,Нет,19.06,23
289,Floor796,0,Нет,18.17,36
290,АНО «Центр искусственного интеллекта «Горький»,0,Нет,18.06,33
291,Innovative People,1,Нет,17.14,31
292,EasyWorkStation,0,Нет,15.36,75
293,RoboUniver,0,Нет,14.16,28
294,GenerationS,0,Нет,13.82,25
295,Fix Price,0,Нет,13.15,80
296,Ассоциация больших данных,0,Нет,13.1,28
297,offlineCRM: Бесплатная CRM для самозанятых,7,Нет,12.79,37
