name,subscribers,rating,Popular science,Reading room,DIY,History of IT,Electronics for beginners,Information Security,System administration,Old hardware,Hosting,Lifehacks for geeks,Astronautics,Energy and batteries,Systems engineering,Physics,Computer hardware,Gadgets,IT Infrastructure,IT-companies,Manufacture and development of electronics,Research and forecasts in IT,The future is here,CPU,Programming,Machine learning,Python,Configuring Linux,Personnel Management,Java,DevOps,IT career,Big Data,Программирование,Разработка веб-сайтов,Машинное обучение,Алгоритмы,Tarantool,Высокая производительность,Разработка игр,Интерфейсы,Научно-популярное,Algorithms,Website development,Search engines,Open source,Development of mobile applications,Interfaces,C++,IOT,Smart House,Development for IOT,Prototyping,Robotics,Biology,Health,Network technologies,Atlassian,Development Management,Brain,Project management,Service Desk,Studying in IT,Habr,Content-marketing,Community management,Legislation in IT,Social networks and communities,Conferences,Media management,Image processing,Artificial Intelligence,Mathematics,Data Mining,Natural Language Processing,Data visualization,Kubernetes,Server Administration,Database Administration,Build automation,*nix,High performance,System Analysis and Design,JavaScript,ReactJS,Sound,Laptops,Video equipment,Cellular communication,Angular,TypeScript,Development for Android,Design,Development for iOS,IT systems testing,Professional literature,C,C#,.NET,Visual Studio,Development for Windows,Game development,Smartphones,Games and game consoles,Monitors and TV,Periphery,IT-emigration,Urbanism,Start-up development,Finance in IT,Product Management,Data storage,Oracle,Системное администрирование,Серверное администрирование,IT-инфраструктура,Интервью,Управление проектами,Карьера в IT-индустрии,Управление персоналом,Development of communication systems,IT Standards,Network standards,Go,Web services testing,Chemistry,Biotechnologies,Ecology,Virtualization,Hackathon,Software,Development for Linux,3D printers,Sales management,Cryptocurrencies,Cryptography,Google Chrome,Cloud services,Development for e-commerce
Southbridge,47346,241.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2808.1,,,639.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1129.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2765.4,1617.0,1316.6,926.0,722.0,700.6,349.0,,,,,,,,,,,,,,,,,,,
VAS Experts,25467,236.52,,,,,,477.0,,,,,,,,,,,822.0,,,433.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.0,,,,,,,,,,532.0,,,,,,,,,,,240.0,,,,,167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1397.0,659.0,396.0,,,,,,,,,,,,,,,,
Ozon Tech,29280,220.53,,,,,,,,,,,,,,,,,540.0,,,,,,622.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.0,,,,,,,,,,338.3,,,,,,,,,,,,,841.0,609.0,,,,,,,,,,,,367.9,,,,,,,,,,,,,,,,577.0,,,,,,,,,,,,,678.9,567.9,,,,,,,,,,,,,,
Яндекс Практикум,37069,209.18,,,,,,,,,,,,,,,,,,,,173.0,,,957.6,,280.0,,204.8,,,943.9,,,,,,,,,,,,245.0,,,,,285.0,,,,,,,,,,,,,,819.4,,,,,,,,,,,,,,,,,,,,,225.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,,,,,,,,,,,,,,,,
ua-hosting.company,38378,208.48,9968.0,2340.0,,2769.0,,,,,1925.0,,,,,4068.0,,,3083.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2338.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3242.0,2768.0,2264.0,,,,,,,,,,,
КРОК,41463,204.85,,,,,,1859.6,1484.0,,,,,,,,,,6204.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1176.2,,,,1776.0,,,,,,,,,,734.0,,,,,,,968.0,,,,,720.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,864.5,,,,,,,,,,,,,,,,,779.1,,,,,,,,,,
JUG Ru Group,42615,203.55,,,,,,,,,,,,,,,,,,,,,,,5988.8,,,,,9424.4,,,,,,,,,,,,,,,,,2264.4,,,,,,,,,,,,,,,,,,,,,,7906.0,,,,,,,,,,,,,2989.0,,3527.2,,,,,,,,,,,2351.0,,,3200.0,5074.0,,,,,,,,,,,,,,,,,,,,,,,,,,1982.0,,,,,,,,,,,,,,
Цифровой СИБУР,43037,196.96,200.0,,,,,,,,,,,,,,,,104.0,,,,,,,125.0,,,96.0,,,124.0,187.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,171.0,,107.0,,,,,,,,,
МойОфис,630,192.56,,,,,,,,,,,,,,,,,,877.0,,,,,210.0,,,,,,,231.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.0,,,,,,,,,,,,,472.6,,685.2,,,,,,,,,,,,,180.0,,,,,,,853.9,185.9,,,,,,,
Белая Радуга,19121,190.83,3917.0,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,53.0,4717.0,,,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1337.0,,,,,,38.0,21.0,,,,,
Домклик,906,190.78,,,,,,,,,,,,,,,,,,,,,,,1650.0,,1000.0,,612.0,,,870.0,,,,,,,,,,,,682.0,,,,,,,,,,,,,,,548.0,,416.0,,394.0,,,,,,,,,,,,,,,,,,,,,804.0,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Альфа-Банк,25554,189.87,,,,,,,,,,,,,,,,,,,,,,,382.0,,,,,,,601.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394.0,,612.9,,,,,,,,,,,,,,425.3,390.6,,,,,,,,,,,438.4,,,,,,,,,,,,,,,1133.5,,,,,,,,,,,,,,,,,,,,,,,,,543.0,442.0,,,
AvitoTech,113110,184.57,,,,,,,,,,,,,,,,,,,,,,,1565.0,814.0,,,,,,795.0,,,,,,,,,,,,1179.0,,,857.0,,,,,,,,,,,,1021.0,,,,,,,,,,654.0,,,,,,,,,,,,,604.0,,,,,,,,,,,,613.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745.0,,,,,,,,,,,,,,,
Voximplant,70191,181.18,,,,,,126.0,,,,,,,,,,,,,,,,,2514.0,,124.0,,,,,,,,,,,,,,,,,2404.0,,,928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1645.0,,,,,,,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.3,,,,,,,,,,,,,,,,120.0,108.0,
CloudMTS,37520,179.7,,,,684.7,,797.2,1088.9,,,,,,,,,,2124.6,,,,,,644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,712.3,,,,954.4,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811.2,,,,,,,,,,,,,,,,,,,,,,,,,,,1104.0
